Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",164.550000,-84.070000,-90.000000,top
"C2","0.1uF","C_0402_1005Metric",160.589411,-69.889411,135.000000,top
"C3","0.1uF","C_0402_1005Metric",164.339411,-70.160589,45.000000,top
"C4","1uF","C_0402_1005Metric",163.600000,-84.070000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",162.746518,-68.667696,45.000000,top
"C6","0.1uF","C_0402_1005Metric",155.520000,-79.250000,180.000000,top
"C7","0.1uF","C_0402_1005Metric",166.230000,-79.250000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",166.660589,-72.589411,45.000000,top
"C9","0.1uF","C_0402_1005Metric",164.750000,-72.730000,90.000000,top
"C10","0.1uF","C_0402_1005Metric",166.250000,-75.250000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",162.039411,-67.960589,45.000000,top
"C12","0.1uF","C_0402_1005Metric",155.520000,-75.500000,180.000000,top
"C13","10uF","C_0201_0603Metric",156.705000,-54.650000,180.000000,top
"C14","10uF","C_0201_0603Metric",157.155000,-59.450000,180.000000,top
"C15","33pF","C_0402_1005Metric",163.700000,-85.930000,90.000000,top
"C16","33pF","C_0402_1005Metric",158.250000,-86.030000,-90.000000,top
"C17","0.1uF","C_0402_1005Metric",158.430000,-68.250000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",160.430000,-49.020000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",151.760000,-47.620000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",169.540000,-47.620000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",158.110000,-96.640000,90.000000,top
"R1","5.1K","C_0402_1005Metric",159.550000,-56.430000,-90.000000,top
"R2","5.1K","C_0402_1005Metric",161.700000,-56.850000,-90.000000,top
"R3","27","C_0402_1005Metric",162.500000,-73.020000,-90.000000,top
"R4","27","C_0402_1005Metric",161.500000,-73.020000,-90.000000,top
"R5","1K","C_0402_1005Metric",161.920000,-83.250000,180.000000,top
"R6","10K","C_0402_1005Metric",158.930000,-67.300000,180.000000,top
"R7","1K","C_0402_1005Metric",164.070000,-61.750000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",164.050000,-58.250000,-90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",160.990000,-78.320000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",157.000000,-57.000000,90.000000,top
"W25Q16JVZPIQ_TR1","~","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",157.500000,-70.000000,0.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",161.000000,-85.480000,0.000000,top
