Designator,Mid X,Mid Y,Rotation,Layer
C1,164.55,-84.07,270.0,top
C10,166.25,-75.25,0.0,top
C11,162.039411,-67.960589,45.0,top
C12,155.52,-75.5,180.0,top
C13,156.705,-54.65,180.0,top
C14,157.155,-59.45,180.0,top
C15,163.7,-85.93,90.0,top
C16,158.25,-86.03,270.0,top
C17,158.43,-68.25,180.0,top
C2,160.589411,-69.889411,135.0,top
C3,164.339411,-70.160589,45.0,top
C4,163.6,-84.07,270.0,top
C5,162.746518,-68.667696,45.0,top
C6,155.52,-79.25,180.0,top
C7,166.23,-79.25,0.0,top
C8,166.660589,-72.589411,45.0,top
C9,164.75,-72.73,90.0,top
J1,160.43,-49.02,180.0,top
J2,151.76,-71.75,0.0,top
J3,205.1,-71.93,0.0,top
J4,163.86,-96.6,90.0,top
J5,179.225,-90.5,180.0,top
R1,159.55,-56.43,270.0,top
R2,161.7,-56.85,270.0,top
R3,162.5,-73.02,270.0,top
R4,161.5,-73.02,270.0,top
R5,161.92,-83.25,180.0,top
R6,158.93,-67.3,180.0,top
R7,164.07,-61.75,0.0,top
SW1,164.05,-58.25,270.0,top
U1,160.99,-78.32,90.0,top
U2,157.0,-57.0,270.0,top
U3,178.065,-77.25,270.0,top
U4,185.85,-52.575,0.0,top
U5,195.8,-82.5,0.0,top
W25Q16JVZPIQ_TR1,157.5,-70.0,0.0,top
Y1,161.0,-85.48,0.0,top
